id,name,text,trans
0-chapter_name,,争乱の火種,
0-synopsis,,民兵に抗戦している一人の青年。バザラガは青年から詳しい事情を聞き出そうとするが、青年は戦いが始まったから戦っていると言う。とうとう自暴自棄になった青年は、魔物を街に放そうとしている。一行は青年を止めるために、仕方なく戦うのだった。,一名青年正在与民兵抗战。巴萨拉卡试图从这名青年那里了解详细情况，但青年表示他正在战斗，因为战斗已经开始了。最终，陷入绝望的青年试图释放魔物进入城镇。一行人不得不与之战斗，以阻止青年的行动。
0,,青年を狙って襲いかかってきた\n民兵達を追い返した姬塔ら。,姬塔等人击退了冲向青年的民兵。
1,,詳しい話を\n青年から聞こうとするのだが……,虽然试图听取青年的详细叙述……
2,青年,くそっ！　奴らめ……\nやっぱり話し合う気もないんだ……！,该死！这些家伙……根本就没有谈判的意愿……！,
3,バザラガ/巴萨拉卡,なぜ戦う？\n同じ街に住まう者同士で\n傷つけ合う事を望んでいるのか？,为什么要战斗？为什么在同一个城镇里的人要互相伤害？,
4,青年,なぜって……知るか！\nそんなこと！\n戦いが始まったから戦って……,为什么……我管不着！没必要谈这些！战斗已经开始了，所以我战斗……,
5,青年,だが！\nどちらかが勝つまで終わらないんだ！\n負ければどうなるか……！,但是！战斗直到胜负分出为止！如果失败了会怎样……！,
6,バザラガ/巴萨拉卡,そのために、\nお前は何をしようとしている？,所以，你打算做些什么？
7,青年,ぐっ……！,呜……！
8,ビィ/碧,うん？\nツノ鎧、オマエ何言ってんだ？,铁铠甲，你在说什么啊？
9,バザラガ/巴萨拉卡,追い詰められた人間が\nなおも勝利を手にしようとする時、\nどうなるかは知っているつもりだ。,当被逼入绝境之时，一个人仍然试图取得胜利，我知道那意味着什么。,
10,青年,……あんた、何が言いたい？,……你，想说什么？
11,バザラガ/巴萨拉卡,手段は選べと言っている。,我是说，可以选择手段
12,バザラガ/巴萨拉卡,青年、お前から\n魔物の臭いがする。\n街に放つつもりか？,你身上有魔物的气息。\n你打算释放到城镇里吗？
13,青年,…………！,…………！
14,青年,仕方ないだろう！\nこっち側に\n戦える人間は残ってないんだ！,没有办法！这一边已经没有人能够战斗了
15,青年,俺ひとりでできる事なんて\nたかが知れてる！\nだからどんな手を使ったって……！,我一个人能做到的事情微不足道！所以无论使用什么手段……！
16,バザラガ/巴萨拉卡,もう一度言う。\n手段は選べ。,我再说一次。手段是可以选择的。
17,青年,止める気か！\nだったら止めてみろよ！\nお前ら、来い！,你想阻止我吗！那就试试看！你们，过来！
18,魔物,グオォォォォォッ！,咆哮声!!!!!!!
info,,,scene_chr105_q2_s10
译者,,,祁琳w
