id,name,text,trans
0-chapter_name,,争乱の火種,
0-synopsis,,バザラガは、青年を説得しようと自身の過去を語る。この戦いが終わらないよう火種を撒き続ける者の存在に気付いたバザラガは、青年たちの勢力の拠点へと向かう。群衆の前で、バザラガは自らの武器・大鎌グロウノスをかざして、力を解放する。そうしてバザラガは、自分の武器を見て、ひとりだけ顔色を変えた『敵』をあぶり出すのだった。,巴萨拉卡试图说服这名年轻人，讲述了自己的过去。他意识到，存在着不断播种火种以确保战斗不会结束的人。巴萨拉卡决定前往年轻人们的势力基地。在人群面前，巴萨拉卡举起自己的武器——大镰刀“格洛诺斯”，释放力量。然后，他通过观察自己的武器，找出了唯一一位脸色变化的“敌人”
0,青年,戦いを終わらせなきゃ……\n最初は勝てると思ってた……\nだから、俺も皆を焚きつけて……,战斗必须结束……一开始以为我们能赢……所以，我也煽动了大家……,
1,バザラガ/巴萨拉卡,俺も、かつてお前と\n同じ状況に立たされた。,我也曾经\n处于和你一样的境地。
2,バザラガ/巴萨拉卡,過信から暴走し……\n騎空団の仲間を失った事がある。,由于过度自信而暴走……\n我失去了骑空团的伙伴。
3,バザラガ/巴萨拉卡,後悔に苛まれたよ。\n力さえあればと……\nそして幾多の儀式によって力を得た。,我深感后悔。\n如果我有力量的话……\n于是，我通过多种仪式获得了力量。
4,バザラガ/巴萨拉卡,もはやこの身体は痛みさえ感じない。\nこうなってでも、お前は力を欲するか？,我已经不再感受到这个身体的痛苦。\n即便如此，你还想要力量吗？
5,青年,……何を言われたって\n戦いをやめるわけにはいかないんだ……,无论你说什么\n我都无法停止战斗……,
6,バザラガ/巴萨拉卡,……こんなもの、ただの言葉に過ぎん。\nこれでお前を止められるとは思っていない。,这些只是空话罢了。\n我并不指望通过这种方式阻止你。
7,バザラガ/巴萨拉卡,俺を止めようとした者もいた。\nしかし、俺は耳を貸さなかった。\nお前と同じように。,也有人试图阻止过我。\n但是，我没有听从。\n就像你现在一样。
8,青年,でも……すでに力を手に入れて\n強くなったアンタには\nわからないだろう！,可是……你已经获得了力量\n变得强大了，你不会明白的！
9,バザラガ/巴萨拉卡,俺は強くなどない。無力だ。\n現に一人の若者を説得する事さえできん。,我并不强大。我是无力的。\n我甚至无法说服一个年轻人。
10,バザラガ/巴萨拉卡,……青年よ、今は任せろ。\n俺が解決の糸口を探す。\nそれも『俺達』の仕事でな。,……年轻人啊，现在就交给我吧。\n我会找到解决的办法。\n这也是“我们”的工作。
11,ビィ/碧,ってもよぉ……\nこれ、そう簡単に収まるとは\nオイラ思えねえぜ……,可是……\n这，不可能这么容易结束的\n我觉得……
12,バザラガ/巴萨拉卡,この戦いが終わらないよう、\n火種を撒き続ける者がいる。,存在着不断播种火种以确保\n战斗不会结束的人。
13,バザラガ/巴萨拉卡,扇動者を見つけ、倒せば……\nおそらくこの戦いは終結する。,找到扇动者，打倒他……\n也许这场战斗就能结束了。
14,,そしてバザラガの提案で、\n青年の勢力の拠点へと向かう。,随后，在巴萨拉卡的建议下，\n他们前往了年轻人的势力基地。
15,,突然の余所者の登場に、\n拠点でひしめく人々がざわついていた。,突然出现的外来者使基地内的人们\n感到不安。
16,ビィ/碧,おいおい……\nツノ鎧よぉ、これだけの中から\nどうやって……,喂喂……\n铁铠甲啊，从这么多人里\n怎么挑出……
17,バザラガ/巴萨拉卡,炙り出すには\nかえって好都合だ。見ていろ。,反而更容易引出他们。\n看着吧。
18,バザラガ/巴萨拉卡,大鎌グロウノス！\n星の獣の血を啜り、\nその魂を刃となせ！,大镰刀格洛诺斯！\n啜食星兽之血，\n让其魂化为利刃！
19,,バザラガの言葉に呼応し、大鎌が輝く。\nその光景を中にいる者のほとんどが\n不思議そうに眺めていた。,随着巴萨拉卡的话语，大镰刀发出了光芒。\n在场的大部分人都以惊奇的眼光\n注视着这一景象。
20,,その中に、\nひとりだけ顔色を変えた者がいた。,在人群中，\n只有一个人的脸色变了
21,男,き、貴様！　まさか……,你，你竟然……
22,バザラガ/巴萨拉卡,この通りだ。\nやはり『敵』が\n扇動者だったか。,正是如此。\n果然“敌人”\n就是扇动者吗。
23,男,ぐ……,嗯……
24,バザラガ/巴萨拉卡,言い逃れはできんぞ。\n俺達の武器を知っているのは\n『敵』くらいのものだ。,你逃不掉的。\n知道我们武器的人\n只有“敌人”一方。
25,男,ぐ……,嗯……
26,男,ぐおぉぉぉぉぉぉっ！,呜呜呜呜呜呜呜！
27,ビィ/碧,うわっ！\n本性を現しやがったぜぇ！\n姬塔！　行くぞぉ！,哇啊！\n原形毕露了！\n姬塔！ 冻手！
info,,,scene_chr105_q3_s10
译者,,,祁琳w
