id,name,text,trans
0-chapter_name,,謎多き大鎌の戦士,神秘的镰刀战士
0-synopsis,,とある島で起こった戦いの中で出会った大鎌使いのバザラガ。一行の旅の目的を知ったバザラガは、星晶獣を倒せば倒すほど力を増す自身の武器を鍛えるために、旅に同行することになる。しかし、バザラガが仲間になった後も、彼の所属している組織の正体などは依然として謎のままなのであった。,在某座岛上发生的战斗中，遇到了使用大镰刀的巴萨拉卡。知道一行人此行的目的后，巴萨拉卡为了锻炼自己的武器，打倒星晶兽力量就会越来越大，于是和他一起旅行。然而，即使在巴萨拉卡加入他们之后，他所在组织的身份仍然是一个谜。
0,,姬塔達は、とある島で起こった\n星晶獣との戦いの中で\nバザラガという名の戦士と出会った。,"<a href=""https://fanyi.caiyunapp.com/"" target=""_blank"" class=""autotrans-hint-blhxfy caiyun-blhxfy""> </a>姬塔一行人在某座岛上与星晶兽的战斗中，遇见了名为巴萨拉卡的战士。"
1,,戦いが終わって休息している一行に\n彼が不意に話しかけてくるのであった。,战斗结束后，他突然对休息的一行人说话。
2,バザラガ/巴萨拉卡,……あれだけの戦いがあっても\n平然としているのだな、お前達は。,……即使经历了那样的战斗，你们还是一副泰然自若的样子啊。
3,ビィ/碧,うん？\nいきなりどしたぁ？　ツノ鎧？,突然怎么了? 铁铠甲?
4,バザラガ/巴萨拉卡,命のやりとりをしたのだ。\n少しは疲れも見せるかと思っていた。,我们做了生死攸关的事。我还以为你看起来会有些疲惫呢。
5,ビィ/碧,へへん！\nオイラ達ゃ\nこれまで何度も星晶獣と戦ってんだぜ？,嘿嘿!目前为止我们已经和星晶兽战斗了好几次了。
6,ビィ/碧,危ない目にだって遭ってるけどよぉ、\nもう慣れっこだぜぇ！,虽然也遇到过危险，但已经习惯了!
7,バザラガ/巴萨拉卡,……そのような危険な旅を、\nなぜ続ける？,……为什么要继续这样危险的旅程呢?
