id,name,text,trans
0-chapter_name,,優しく悲しき者,
0-synopsis,,戦場から走り去ったバザラガを追う姬塔達。バザラガは、何かに操られているかのように大鎌を振るっていたが、やがて自らの身体を抑え込むように倒れ込む。そのまま騎空艇でうなされ続けるバザラガのもとに、ゼタがやって来る。ゼタは、バザラガの異変は、自身も所属する“組織”から支給された大鎌の形が変わったせいかもしれないと推測し、自分も色々調べてみると姬塔に約束するのだった。,姬塔们追赶着从战场逃离的巴萨拉卡。巴萨拉卡似乎被某种力量操控着挥舞着大镰刀，但最终却倒在地上，仿佛在试图控制自己的身体。在骑空艇上，倒在床上的巴萨拉卡仍在不断地痛苦挣扎着，这时泽塔前来了。泽塔推测巴萨拉卡的异常可能与她自己所属的“组织”提供的大镰刀形状的改变有关，并承诺会进行调查以找出真相。
0,,人々は、バザラガの禍々しいまでの\n強さに圧倒されて立ち尽くす。, 人们被巴萨拉卡的强大所震慑，呆立不动。
1,バザラガ/巴萨拉卡,…………,…………，
3,ルリア/露莉亚,バザラガさんっ！,巴萨拉卡先生！,
4,子供/孩子,うえぇぇーーーん！, 呜呜呜——！,
5,ルリア/露莉亚,はわわ……\nどうしましょう……！？, 哈哇哇……\n该怎么办呢……！？,
6,,バザラガを追おうとするも、\nしがみついて泣き続ける子供を\n振り払うこともできず困惑する。, 露莉亚试图追赶巴萨拉卡，但无法摆脱紧紧抱住他并不停哭泣的孩子，感到困惑。
7,ビィ/碧,ルリア！\nオイラがツノ鎧を追いかけるから！, 露莉亚！\n我去追踪铁盔甲！,
8,ルリア/露莉亚,ビィさん！, 碧！,
9,ビィ/碧,お前はその子供を頼むぞ！, 你照顾好那孩子！,
11,ルリア/露莉亚,はいっ！\nバザラガさんをお願いします！！, 好的！巴萨拉卡先生就拜托你了！！,
17,バザラガ/巴萨拉卡,う……っ……,呃……,
20,ビィ/碧,おい待てよ！　ツノ鎧！！, 喂，等等！铁盔甲！！,
21,バザラガ/巴萨拉卡,……何故、追って来た？, ……为何、追来了？,
22,ビィ/碧,何故ってことはねぇだろ！？\nそんな状態のお前を\n放っておけるかってんだ！, 你还问为什么！？\n放任你处于那种状态\n我做不到啊！,
23,ビィ/碧,鎧とか大鎌とかの様子も\nいつもとなんか違うし。\n何がどうなって……, 盔甲和大镰刀的状态\n和往常不太一样。\n到底发生了什么……,
24,バザラガ/巴萨拉卡,来るなっ！, 别过来！,
26,ビィ/碧,ウヒッ！？\nやっぱりお前、変だぞ？\n一体……, 呜咿！？\n果然你，有哪里不对？\n到底……,
28,,バザラガは、まるで操られてでも\nいるかのように、震える手で大鎌を\n持ち上げてビィに向かって構える。, 巴萨拉卡仿佛被操纵着一样，\n颤抖的手拿着大镰刀，\n对着碧摆出攻击的姿势。
29,バザラガ/巴萨拉卡,近寄る、な……！, 别过来……！,
30,ビィ/碧,お、おい……本当に、\nどうしたってんだよ……？, 喂、喂……真的，\n到底发生了什么……？,
31,バザラガ/巴萨拉卡,っ、ぐぅ……！！, 呃、唔……！！,
34,ビィ/碧,ヒャアアッ！？, 呀啊啊啊！？,
35,,振り回された大鎌を、ビィは\n飛び上がってギリギリ避ける。, 碧跳起来，\n勉强躲开了挥舞的大镰刀。
36,ビィ/碧,何すんだよ！？, 你要干嘛啊！？,
37,バザラガ/巴萨拉卡,すまない……\nだが、早く離れろ……！\nぐっ……, 对不起……\n但，快走开……！\n咕……,
38,,バザラガは、自分の身体を\n抑え込むように膝をついた。, 巴萨拉卡跪在地上，\n仿佛要控制住自己的身体一样。
39,バザラガ/巴萨拉卡,……脅威が俺自身では、\nお前を懐に入れて守ってやることも\nできん。, ……我自己也……\n无法将你保护在怀中。\n
40,ビィ/碧,そんなこと言ってる\n場合じゃねぇだろ！, 这种时候说这种话\n不合适啊！,
41,バザラガ/巴萨拉卡,冗談だ……, 开玩笑的……,
42,ビィ/碧,おい、ツノ鎧……, 喂，铁盔甲……,
43,バザラガ/巴萨拉卡,だが、離れろと言うのは冗談ではない。\nさっさとしろ。, 但是，叫你走开不是开玩笑。\n快点滚蛋。
44,ビィ/碧,うるせー！！\nそんな状態のお前を放って\nおけるかってんだ！！, 闭嘴！！\n放任你处于那种状态\n我做不到啊！！,
45,バザラガ/巴萨拉卡,そうか、困ったな……\nお前は小さいが、勇敢で\n優しいのだったな……, 这样啊，伤脑筋了……\n你虽然小，但勇敢又\n温柔……,
46,ビィ/碧,くそぅ！\nどうすりゃいいんだよ！, 可恶！\n该怎么办啊！,
49,ルリア/露莉亚,ビィさん！\nバザラガさん！, 碧！\n巴萨拉卡先生！,
50,バザラガ/巴萨拉卡,お前達……, 你们……,
51,,駆けつけてきたルリアと\n姬塔達を見て、\nバザラガが一層苦しそうに息を吐く。, 看到赶来的露莉亚\n和其他人，\n巴萨拉卡更加苦涩地呼出了气息。
52,ルリア/露莉亚,バザラガさん！\n大丈夫ですか！？, 巴萨拉卡先生！\n你没事吧！？,
53,バザラガ/巴萨拉卡,すまない、迷惑を……\nかける……, 抱歉，给你们添麻烦了……,
55,,弱々しい声を残し、バザラガは\n気を失ってしまったのだった。, 留下虚弱的声音，\n巴萨拉卡失去了意识。
61,ビィ/碧,ツノ鎧の奴、\n本当にどうしちまったんだ……？, 铁盔甲，\n到底怎么了……？,
62,バザラガ/巴萨拉卡,…………,…………,
63,,グランサイファーに運んだ後も、\nバザラガは目を覚ますことなく\nうなされ続けていた。, 就连被运往格兰赛佛之后，\n巴萨拉卡也没有醒来，\n继续梦魇般地痛苦着。
