id,name,text,trans
0-chapter_name,,優しく悲しき者,
0-synopsis,,星晶獣を撃破した姬塔一行。すると少年の母がバザラガに「団長様」と呼びかけてくる。少年の母は、かつてバザラガが傷つけ、死なせてしまった部下の妻だった。バザラガはよろず屋を通じ、母子を援助してきたのだという。母子の自立を見届けたバザラガは、今回の一件の背後にも“組織の敵”の影があった事を感じつつも、生きるための新たな道しるべを見つけるのだった。,
0, ,一行は、力を合わせて\n見事に星晶獣を撃退する。, 一行人齐心协力，成功击退了星晶兽。
1, バザラガ/巴萨拉卡, これ以上ここに留まっても混乱の元だ。\nすぐに離れた方がいい。, 在这里停留下去只会加剧混乱。最好马上离开。
2, ルリア/露莉亚, そうですね。\n兵士さん達もいませんし、\n今のうちに……, 是的，士兵们也不在这里，现在是时候......
3, 母親/母亲, お待ちください！, 请等一下！
4, ビィ/碧, わっ！？\nあの母子、まだいたのか。\n危ねぇなぁ。, 啊！？ 那对母子还在这里吗？好危险啊。
5, 母親/母亲, あの、あなた様はもしかして、\nバザラガ様……団長様では\nありませんか？, 对了，您难道是…… 巴萨拉卡先生…… 团长大人吗？
6, バザラガ/巴萨拉卡, …………, …………
7, ビィ/碧, 団長？\n姬塔のこと……\nじゃねぇよな？, 团长？难道说…… 那个姬塔…… 不是吧？
8, ルリア/露莉亚, バザラガさんのこと\nみたいですけど……, 好像是指巴萨拉卡先生的样子……
9, ビィ/碧, そういえば、ツノ鎧の奴\n昔、騎空団の団長だったとか\n言ってたよな？, 说起来，那个戴角铠甲的家伙…… 以前是骑空团的团长来着。
10, バザラガ/巴萨拉卡, 俺は……, 我是……
11, 母親/母亲, やっとお会いできました、団長様。, 终于见到您了，团长大人。
12, バザラガ/巴萨拉卡, …………, …………
13, ゼタ/泽塔, ……これ、どういう状況？, ……这是，怎么一回事？
14, 母親/母亲, いつも、よろず屋さんから\n受け取っております……ずっと\n直接お会いしたいと思っておりました。, 我们经常是从杂货店那里\n收到的……一直\n都想直接见一见您。
15, 母親/母亲, 夫が死んだ時、この子はまだ産まれた\nばかりで……団長様からのお金や\n食べ物にどれだけ助けられたことか。, 我丈夫去世时，这孩子刚刚出生……\n团长大人给予的金钱和\n食物帮了我们多大的忙啊。
16, 母親/母亲, 感謝してもしきれません。\nありがとうございました。, 感激之情无以言表。\n非常感谢您。
17, ベアトリクス/贝阿朵丽丝, お金？　食べ物？\nバザラガの奴、あの母子に\n仕送りとかしてたってことか？, 金钱？食物？\n那个巴萨拉卡家伙，给那对母子\n发过钱和食物吗？
18, ゼタ/泽塔, ……そうみたいね。, ……看来是这样呢。
19, バザラガ/巴萨拉卡, その様に頭を下げられる資格は\n俺にはない。\nあいつが死んだのは俺の所為だ。, 我没有被这样低头的资格。\n那家伙之所以死是因为我。
20, バザラガ/巴萨拉卡, 恨まれてしかるべきだ。\nあの程度のことが償いになるとも\n思えないが……, 应该受到怨恨。\n虽然那点事情怎么补偿也不够……
21, 母親/母亲, ……いいえ。, ……不，不是的。
22, 母親/母亲, 確かに、夫の死は耐えられぬ程\n悲しいことでした。\n団長様を恨んだこともあります。, 的确，丈夫的去世让人无法忍受的悲伤。\n我也曾经恨过团长大人。
23, 母親/母亲, でも、そうして生きていくのは\n辛くて苦しい……だからやめたんです。, 但是，这样活下去很辛苦很痛苦…… 所以我放下了。
24, バザラガ/巴萨拉卡, そうか……, 这样啊……
25, 母親/母亲, 団長様……いえ、バザラガ様。\n私達はもう充分にしていただきました。, 团长大人…… 不，是巴萨拉卡大人。\n我们已经得到了足够的帮助。
26, 母親/母亲, バザラガ様も、これから先はご自分と、\nそしてそちらの新しいお仲間のために\n生きて下さい。, 巴萨拉卡大人，请您以后也请为自己，\n为那里的新伙伴而活下去。
27, バザラガ/巴萨拉卡, …………, …………
28, 子供/孩子, ねえ、ツノのおじちゃん。, 呐 长角的大叔。
29, , 黙り込むバザラガの手を、\n子供が引っ張る。, 沉默的巴萨拉卡被孩子拉起了手。
30, 子供/孩子, あのね、僕、大きくなったら\n騎空士になるんだ！, 对了，我长大了要成为\n骑空士！
31, 子供/孩子, お父さんとかおじちゃんみたいに、\nでっかくて強い騎空士になりたい！, 想要成为像爸爸或者大叔一样，\n又高大又强壮的骑空士！
32, バザラガ/巴萨拉卡, ……そうか。, 这样啊。
33, , バザラガはその大きな手を\n子供の頭にそっとのせ、\nやさしく撫でたのだった。, 巴萨拉卡轻轻地把大手\n放在孩子的头上，\n温柔地抚摸着。
39, ゼタ/泽塔, 結局、あの街の件って\n『敵』が絡んでたわけ？, 结果，那个城市的事情\n牵扯到了『敌人』？
40, バザラガ/巴萨拉卡, 確かなことはわからん。\nだが、可能性は高いだろうな。, 确实的情况我也不清楚。\n但很可能是那样。
41, ゼタ/泽塔, 星晶獣まで持ち出して……\n奴らも、やることがどんどん\n過激になってくわね。, 连星晶兽都拿来了……\n他们的行为越来越极端了呢。
42, バザラガ/巴萨拉卡, 今更だな。, 现在才这么说。
43, ゼタ/泽塔, まあ、そりゃあそうよね。, 嗯，确实。
44, ゼタ/泽塔, ところであんた、\nもう平気なわけ？, 话说，你没事了？
45, バザラガ/巴萨拉卡, 問題ない。\n……心配をかけたな。, 没事。\n……让你担心了。
46, ゼタ/泽塔, ……別にあんたの心配なんて\nしてないわよ。, ……我才没有为你担心呢。
47, バザラガ/巴萨拉卡, そうか。, 是吗。
48, ゼタ/泽塔, そうよ！　そんなことより、\nいったいなんだったわけ？\nあんたがぶっ倒れるなんて。, 是啊！比起那种事情，\n到底发生了什么？你竟然昏倒了。
49, バザラガ/巴萨拉卡, ……おそらく、\nこの武器が原因だ。, ……大概是，\n这把武器的原因。
50,ゼタ/泽塔,大鎌グロウノス……,大镰刀「格罗诺斯」……。
51,バザラガ/巴萨拉卡,こいつが、星晶獣と戦う程に\n力を増すことはお前も\n知っているだろう。,你也知道，这把武器会随着与星晶兽的战斗而增加力量。
52,バザラガ/巴萨拉卡,星晶獣が相手ではない時に\n無理に力を引き出そうとしたため、\n俺自身の身体に反動が来たのだろう。,为在与星晶兽交战时，我不得不强行释放力量，所以我自己的身体承受了反作用力。
53,ゼタ/泽塔,反動って……\nあんたの身体は苦痛を\n感じないはずじゃなかった？,反作用力……你的身体应该感受不到痛苦才对吧？
54,バザラガ/巴萨拉卡,ああ。\nだが、流石に許容しきれなかった。,是的。但是，我无法完全容忍这种痛苦。
55,ゼタ/泽塔,何それ、どんだけよ！\nっていうか、そんな武器を\nまだ使ってて大丈夫なわけ！？,这是怎么回事，太过分了吧！话说，你还在使用那种武器，没问题吗！？
56,バザラガ/巴萨拉卡,今はもう問題ない。\n力は充分に馴染んだからな。,现在已经没问题了。因为力量已经完全融合了。
